DAUID,POP2021,POPDENS,TOTLOWINC
24660255,635,14048.7,125
24660256,677,4801.4,150
24660257,523,7960.4,100
24660258,570,4241.1,80
24660259,491,14613.1,70
24660260,703,2360.6,165
24660261,409,11329.6,55
24660262,621,5476.2,120
24660263,757,10427,115
24660264,1085,7576.8,185
24660265,404,9330.3,50
24660266,530,3446,60
24660267,549,9803.6,100
24660268,455,6444.8,50
24660269,454,4283,65
24660270,491,8992.7,80
24660271,536,9798.9,35
24660272,440,13017.8,40
24660273,538,11398.3,80
24660274,622,2485,85
24660275,1768,16340.1,160
24660276,604,5421.9,90
24660277,509,7209.6,50
24660278,535,3835.1,40
24660279,364,3851.9,10
24660280,451,3540,25
24660281,599,6908.9,80
24660282,543,15514.3,70
24660283,431,9707.2,75
24660284,668,11264.8,100
24660285,752,13404.6,105
24660286,633,10895,80
24660287,489,12225,60
24660288,634,2902.9,115
24660289,1071,4642.4,335
24660290,698,868.6,90
24660291,399,12996.7,90
24660292,714,15191.5,155
24660293,568,9088,70
24660294,417,7214.5,50
24660295,622,10614.3,80
24660296,724,9837,100
24660297,421,8591.8,30
24660298,279,6940.3,15
24660299,802,9041.7,80
24660300,652,5011.5,80
24660301,1468,1424.1,65
24660302,861,1732,160
24660303,614,3694.3,115
24660304,428,7169.2,70
24660305,444,14557.4,55
24660306,602,14299.3,100
24660307,511,12679.9,65
24660308,371,11107.8,70
24660309,485,7649.8,10
24660310,600,14814.8,80
24660311,941,14086.8,160
24660312,483,10757.2,65
24660313,754,4293.8,105
24660314,751,2468.8,95
24660315,407,4963.4,30
24660316,561,10747.1,65
24660319,459,16510.8,55
24660320,586,17811.6,65
24660321,711,13752.4,90
24660322,695,16508.3,95
24660323,616,8737.6,95
24660324,597,14455.2,90
24660325,510,17586.2,60
24660326,411,15335.8,40
24660327,591,14849.2,80
24660328,648,14896.6,90
24660329,567,23723.8,80
24660330,616,16083.6,135
24660331,567,25656.1,190
24660332,521,13290.8,180
24660333,487,27670.5,150
24660334,630,16890.1,145
24660335,742,7649.5,145
24660336,570,25221.2,240
24660337,695,1601.4,125
24660338,805,25636.9,215
24660339,585,24477,100
24660340,253,5464.4,40
24660341,420,21989.5,90
24660342,613,16434.3,150
24660343,528,7521.4,95
24660344,514,22445.4,110
24660345,680,17894.7,120
24660346,770,17620.1,180
24660347,537,16574.1,100
24660348,333,4730.1,80
24660349,465,10242.3,135
24660350,616,30800,155
24660351,531,26550,85
24660352,498,25151.5,60
24660353,494,474.8,155
24660354,681,22624.6,110
24660355,535,5631.6,105
24660356,506,11605.5,100
24660357,448,10491.8,105
24660358,582,4720.2,120
24660359,577,4679.6,85
24660360,443,8772.3,100
24660361,557,9012.9,130
24660362,649,5831.1,175
24660363,662,20060.6,155
24660364,953,6417.5,190
24660365,590,12580,165
24660366,554,5556.7,70
24660367,807,11850.2,185
24660368,800,14311.3,175
24660369,562,18986.5,150
24660370,676,30178.6,300
24660371,536,15446.7,145
24660372,772,12866.7,215
24660373,677,13459.2,260
24660374,484,15125,100
24660375,507,17604.2,90
24660376,284,10441.2,40
24660377,322,16100,50
24660378,295,15945.9,50
24660379,483,14040.7,55
24660380,373,15101.2,80
24660381,797,10404.7,135
24660382,485,9938.5,60
24660383,563,9690.2,55
24660384,564,10909.1,85
24660385,663,4544.2,100
24660386,516,6035.1,40
24660387,420,3655.4,10
24660388,499,8061.4,55
24660389,715,3731.7,190
